drill_id,lat,lon,depth_m,mn_grade_pct,fe_grade_pct,sio2_pct,geological_unit,core_recovery_pct,year
DH-037,21.71092,79.19022,23.3,26.71,7.6,8.13,BIF,86.5,2025
DH-038,21.44201,80.17481,103.0,38.3,12.75,18.14,Shale,91.9,2020
DH-039,21.51012,79.50937,118.5,33.96,12.11,6.96,Shale,84.2,2018
DH-040,21.73791,79.84724,26.2,37.17,19.24,22.73,BIF,70.5,2020
DH-041,21.77829,80.08496,105.6,33.65,13.79,23.8,Shale,81.6,2021
DH-042,21.38493,80.03288,126.7,33.92,14.39,21.41,Quartzite,76.2,2022
DH-043,21.32283,79.21589,22.4,29.28,6.07,11.38,Phyllite,70.7,2019
DH-044,21.52373,79.67044,110.1,32.14,10.23,23.73,BIF,82.5,2022
DH-045,21.54614,79.30406,117.6,25.04,16.65,11.82,Limestone,95.8,2018
DH-046,21.96384,79.9509,51.0,29.9,10.67,15.69,Shale,81.7,2022
DH-047,22.1903,79.54758,21.4,30.87,19.26,16.47,Quartzite,83.5,2020
DH-048,21.88256,79.73676,47.7,33.45,19.19,20.63,BIF,97.9,2019
DH-049,21.31044,79.73196,77.4,32.07,6.76,7.86,Quartzite,88.5,2022
DH-050,22.1304,79.59001,48.9,33.23,10.95,22.84,BIF,85.4,2023
DH-051,22.28597,79.53041,68.2,26.58,16.66,16.17,Shale,97.2,2024
DH-052,21.70617,79.39173,72.7,30.91,13.57,19.82,Quartzite,94.7,2024
DH-053,22.03335,79.77087,145.1,28.4,18.03,9.47,Limestone,70.4,2025
DH-054,21.83381,79.47109,25.6,29.53,18.87,23.38,BIF,90.9,2018
DH-055,21.79925,79.82381,110.4,41.04,13.76,23.02,BIF,78.4,2025
DH-056,21.31076,79.5537,33.9,29.56,10.03,8.39,Quartzite,81.6,2021
DH-057,21.86284,79.18939,146.7,22.91,17.21,18.69,BIF,97.3,2022
DH-058,22.23756,79.57913,95.6,30.67,18.79,6.65,Phyllite,86.5,2022
DH-059,21.27769,79.53293,125.4,26.27,19.55,21.84,Phyllite,84.1,2020
DH-060,21.39054,79.11572,29.8,31.64,15.38,15.69,Quartzite,97.4,2024
DH-061,22.05744,80.18648,130.5,30.77,6.94,24.08,Quartzite,76.9,2018
DH-062,22.04485,79.15393,54.9,22.56,5.33,14.96,Shale,94.9,2019
DH-063,22.14479,79.73469,92.9,30.68,7.01,5.58,Quartzite,88.6,2019
DH-064,22.0953,80.13862,100.2,34.54,19.71,17.16,Quartzite,86.6,2020
DH-065,22.19937,79.50049,86.8,28.0,14.33,22.25,Limestone,74.4,2025
DH-066,22.1342,79.98426,28.6,35.78,5.69,17.42,BIF,76.3,2020
DH-067,21.50215,79.18724,36.8,29.93,7.73,11.91,Phyllite,84.2,2022
DH-068,22.27177,79.79223,49.1,27.25,17.33,11.9,BIF,71.0,2023
DH-069,21.37667,79.6299,46.8,33.11,15.36,5.79,Quartzite,88.8,2024
DH-070,21.78724,79.28052,69.0,23.18,5.04,22.37,BIF,87.9,2021
DH-071,21.46982,79.52604,83.0,28.08,11.94,19.95,BIF,77.6,2024
DH-072,21.97152,80.07111,117.5,37.24,5.46,22.34,Shale,81.9,2025
DH-073,21.53271,79.53388,22.6,29.76,9.91,7.4,Phyllite,87.8,2021
DH-074,21.62286,79.84615,82.3,32.98,13.76,19.74,Shale,87.6,2021
DH-075,21.38396,79.42634,67.2,33.95,10.34,24.73,Quartzite,77.1,2023
DH-076,21.4866,79.52016,83.4,38.37,17.76,6.76,Phyllite,71.7,2018
DH-077,21.33425,79.70319,73.4,34.23,17.98,21.34,BIF,75.1,2020
DH-078,22.1119,79.92623,89.6,31.85,12.15,21.77,BIF,99.0,2021
DH-079,21.69671,79.68375,51.5,35.06,9.33,16.62,BIF,84.4,2020
DH-080,21.87358,79.52462,79.1,29.68,13.23,15.98,BIF,90.5,2021
DH-081,21.51737,79.88373,118.8,32.56,11.18,11.98,Limestone,94.9,2021
DH-082,21.67894,80.17288,148.8,41.21,8.08,12.58,Limestone,91.6,2021
DH-083,22.13392,79.26074,123.4,26.42,7.46,21.29,Quartzite,85.7,2021
DH-084,21.58201,79.77655,108.8,33.41,11.78,19.28,Phyllite,88.7,2018
DH-085,22.03499,79.67813,50.2,31.59,13.15,23.13,Quartzite,73.5,2023
DH-086,21.59946,79.94013,110.2,37.41,7.5,22.57,Shale,92.2,2020
DH-087,22.07803,79.27443,60.5,30.94,5.5,16.4,Quartzite,96.3,2018
DH-088,21.35806,79.71695,69.2,30.75,11.86,17.08,Shale,86.2,2022
DH-089,21.49071,79.93059,113.6,38.77,13.14,10.04,BIF,75.4,2019
DH-090,21.60965,79.36145,75.1,34.23,9.32,17.3,Phyllite,74.2,2019
DH-091,21.89203,79.12083,133.4,28.04,15.45,23.45,Quartzite,74.6,2021
DH-092,21.64316,79.17926,30.1,31.1,6.56,21.81,Phyllite,73.7,2022
DH-093,22.28408,80.06473,36.2,37.38,10.99,6.1,BIF,94.1,2022
DH-094,21.88391,79.23141,73.9,30.65,17.95,23.46,Shale,84.4,2020
DH-095,21.72483,79.3583,78.8,30.39,12.48,13.38,Phyllite,80.9,2024
DH-096,21.54147,79.35311,47.6,30.17,12.73,24.51,Shale,86.7,2023
DH-097,21.33962,80.24641,85.3,30.05,16.25,9.2,Phyllite,76.2,2022
DH-098,21.90622,79.53438,128.8,32.74,13.81,10.88,Quartzite,85.8,2023
DH-099,21.7128,79.56088,92.8,32.29,17.93,23.92,Shale,78.1,2023
DH-100,21.80291,80.02086,147.3,33.33,17.6,22.34,Shale,86.6,2020
DH-101,21.49263,79.87268,22.6,34.92,7.68,18.05,BIF,73.0,2025
DH-102,22.28817,79.79368,124.9,29.48,19.44,23.89,BIF,82.2,2024
DH-103,22.19115,79.11495,31.1,27.02,11.32,22.85,Phyllite,80.3,2019
DH-104,22.11636,79.51752,24.4,26.67,17.46,11.9,Quartzite,80.9,2022
DH-105,21.55919,80.19072,119.3,36.59,17.0,13.5,BIF,78.1,2025
DH-106,21.98379,79.56293,48.3,31.88,14.68,13.43,BIF,97.0,2019
DH-107,21.53592,79.12115,138.9,28.66,9.11,16.08,Quartzite,94.9,2024
DH-108,21.36191,79.26102,54.3,26.24,9.0,19.64,BIF,89.0,2022
DH-109,21.43414,80.15157,74.4,34.59,5.7,8.33,Quartzite,72.5,2021
DH-110,22.05954,79.17849,128.8,20.43,11.56,23.31,Quartzite,88.3,2023
DH-111,21.74985,79.86322,141.8,32.26,5.47,10.25,Shale,71.5,2023
DH-112,22.253,79.27787,101.0,29.18,12.11,11.89,Shale,82.4,2022
DH-113,21.97282,79.60005,52.0,33.85,15.42,10.44,Shale,80.8,2021
DH-114,22.0978,80.20641,122.7,32.77,15.36,15.43,BIF,98.7,2020
DH-115,22.01884,80.02755,105.6,35.38,8.75,14.79,BIF,99.6,2022
DH-116,21.95341,79.15079,96.5,29.18,19.99,16.12,Shale,79.4,2024
DH-117,21.98229,79.44195,140.2,34.28,17.67,11.38,Phyllite,71.1,2024
DH-118,21.63293,79.74478,82.5,34.4,18.27,15.61,Shale,82.1,2024
DH-119,21.58105,79.72041,122.8,37.55,18.29,17.32,BIF,70.7,2019
DH-120,22.28986,79.10027,44.1,20.8,10.76,23.65,BIF,70.3,2022
DH-121,22.05555,79.56222,82.4,34.11,19.76,20.37,Shale,82.6,2022
DH-122,22.01889,79.10385,80.8,27.89,9.46,22.06,Quartzite,87.7,2025
DH-123,21.26877,80.23588,75.6,36.24,8.27,24.0,Quartzite,72.7,2023
DH-124,22.28145,80.11683,98.1,26.61,18.56,24.78,Quartzite,71.9,2025
DH-125,22.23987,79.84709,99.0,25.85,7.65,9.41,BIF,93.4,2023
DH-126,22.09081,79.82424,48.1,32.5,12.77,16.95,Shale,77.8,2020
DH-127,22.04615,79.90042,40.0,31.16,8.36,15.74,Shale,87.4,2019
DH-128,21.7303,79.54985,55.5,35.08,12.15,5.89,Phyllite,71.1,2024
DH-129,21.938,79.73349,31.3,28.18,8.9,19.47,Shale,72.4,2021
DH-130,21.36494,80.12865,148.9,29.35,5.92,22.66,Shale,97.2,2020
DH-131,21.6152,79.87972,93.5,36.73,16.96,18.17,Phyllite,96.0,2018
DH-132,21.60071,79.37449,140.9,30.27,6.59,18.98,BIF,96.4,2022
DH-133,22.16544,79.13363,127.4,25.28,16.15,8.22,Phyllite,95.0,2022
DH-134,21.52162,79.3221,30.9,28.06,9.9,16.2,BIF,81.3,2025
DH-135,21.81698,79.99682,33.9,35.2,19.44,11.84,Quartzite,98.0,2022
DH-136,22.07825,79.29982,120.2,33.44,19.21,8.33,Quartzite,91.3,2023
DH-137,21.61318,79.81405,25.9,35.97,5.37,5.44,BIF,84.7,2020
DH-138,21.51513,79.10118,40.7,26.2,12.03,23.89,BIF,95.6,2024
DH-139,22.08455,79.89773,48.7,33.15,14.82,10.47,Limestone,74.5,2021
DH-140,22.01783,80.14595,131.5,30.64,19.47,20.2,Shale,79.4,2019
DH-141,22.1888,79.36445,47.7,28.65,10.53,22.29,Shale,99.0,2023
DH-142,21.46389,79.20484,40.0,28.25,11.81,15.61,BIF,93.9,2021
DH-143,21.28415,80.15898,100.2,32.0,6.76,7.5,Quartzite,82.9,2023
DH-144,21.48682,79.28495,104.7,34.33,9.89,16.81,Shale,99.5,2018
DH-145,21.2622,79.18331,71.0,35.14,9.37,18.9,Phyllite,93.4,2025
DH-146,22.0105,79.96154,39.0,31.63,6.54,16.42,BIF,84.5,2021
DH-147,21.98759,79.7436,21.3,33.69,6.32,12.01,BIF,72.4,2023
DH-148,21.5882,80.22409,46.1,27.33,15.4,21.43,BIF,90.1,2025
DH-149,21.91825,79.91245,24.1,39.39,18.06,19.28,Phyllite,80.2,2020
DH-150,21.75862,79.85994,91.9,35.87,13.96,20.68,Shale,71.2,2021
DH-151,22.01817,79.19387,27.8,26.0,18.08,9.38,Limestone,80.1,2025
DH-152,22.16542,79.5987,25.7,29.05,7.43,5.42,Quartzite,80.0,2025
DH-153,22.27353,79.84787,45.9,28.63,5.46,10.15,Shale,96.0,2024
DH-154,21.6867,80.07318,101.7,35.17,16.03,20.35,Shale,86.3,2020
DH-155,21.85761,79.60441,114.3,36.4,18.51,13.43,BIF,87.8,2023
DH-156,21.62711,79.54142,80.6,33.07,17.54,9.72,Quartzite,82.2,2023
DH-157,21.43867,79.37317,146.3,31.84,12.38,9.94,Phyllite,83.4,2025
DH-158,21.85839,79.86201,32.4,33.47,14.78,11.24,Shale,95.7,2022
DH-159,21.59145,79.98949,37.0,34.69,8.54,6.47,BIF,85.6,2019
DH-160,21.95286,79.26762,78.4,30.61,13.82,23.97,BIF,80.8,2021
DH-161,21.2885,79.94686,106.3,36.78,17.09,16.71,Phyllite,76.2,2022
DH-162,21.2859,80.2347,36.0,31.48,8.47,6.03,Quartzite,76.7,2022
DH-163,22.23057,79.46358,85.9,31.6,11.82,15.31,Shale,90.0,2021
DH-164,21.38203,79.25262,38.7,30.22,19.1,19.66,BIF,75.7,2024
DH-165,21.95623,79.61031,132.9,34.2,17.57,23.89,Quartzite,84.9,2018
DH-166,22.12242,80.0943,119.9,28.8,6.7,20.91,Phyllite,88.0,2024
DH-167,21.94183,79.55294,104.7,33.12,19.99,5.96,Limestone,82.2,2025
DH-168,22.04005,79.20405,57.5,25.67,6.64,18.01,Quartzite,97.8,2020
DH-169,22.09824,79.97663,123.7,36.07,6.8,15.89,BIF,79.7,2021
DH-170,21.89032,79.74795,69.5,33.05,13.23,16.93,Shale,83.3,2023
DH-171,21.32686,79.79397,106.9,31.3,10.7,22.27,Shale,84.4,2022
DH-172,22.10445,79.22526,39.4,34.5,12.9,9.92,Shale,81.8,2024
DH-173,22.10364,79.92584,144.2,31.44,18.91,6.21,Limestone,80.5,2019
DH-174,21.42465,79.80995,88.0,35.32,15.05,23.59,Shale,87.4,2019
DH-175,21.89085,79.92357,55.4,31.2,7.72,18.62,BIF,85.8,2024
DH-176,21.56004,80.01242,44.1,34.02,18.77,13.49,BIF,94.5,2021
DH-177,21.29558,79.82812,143.7,36.78,18.26,9.56,BIF,88.3,2019
DH-178,21.62881,80.14177,120.1,35.29,13.35,10.11,BIF,92.0,2021
DH-179,21.69493,79.86768,32.4,32.45,13.8,8.36,Quartzite,95.9,2024
DH-180,21.81213,79.30521,60.6,36.69,8.45,9.12,Quartzite,77.7,2022
DH-181,21.8742,79.67128,148.4,34.78,11.06,13.56,Quartzite,90.8,2024
DH-182,21.60814,80.04151,98.4,32.36,10.06,23.11,Quartzite,77.9,2022
DH-183,22.1889,79.32065,62.0,26.07,6.04,15.38,BIF,94.0,2020
DH-184,21.92218,79.41182,97.1,27.3,15.2,9.62,Shale,75.7,2019
DH-185,22.29385,79.86112,92.5,29.11,5.9,16.25,Limestone,75.3,2024
DH-186,22.04258,79.29605,73.2,34.11,11.34,21.44,BIF,79.0,2025
DH-187,22.08522,80.16625,50.5,28.29,19.89,23.54,Shale,95.3,2022
DH-188,21.34758,79.3956,122.4,29.66,17.97,17.17,Shale,74.8,2022
DH-189,21.28797,79.4486,54.2,28.62,19.05,16.08,BIF,81.9,2024
DH-190,22.23951,80.10434,41.0,29.45,16.79,16.49,Shale,81.7,2021
DH-191,22.22712,79.23382,126.3,29.65,18.02,21.12,Quartzite,79.1,2018
DH-192,21.58865,79.12633,40.0,27.34,8.35,24.15,Shale,98.0,2019
DH-193,21.38915,80.09132,140.0,40.9,16.47,8.5,Shale,82.0,2018
DH-194,21.94962,79.24003,82.2,27.97,12.59,9.65,BIF,93.3,2025
DH-195,21.70412,79.45859,85.8,29.49,14.61,9.32,Quartzite,89.5,2020
DH-196,21.65578,79.74911,44.9,34.23,8.18,14.69,Quartzite,88.6,2024
DH-197,22.28286,79.37506,38.5,26.53,6.52,18.84,BIF,85.3,2024
DH-198,21.49034,79.36754,48.7,28.89,7.61,18.11,Phyllite,91.7,2022
DH-199,22.18093,79.61725,45.3,26.94,17.41,19.67,Quartzite,70.3,2019
DH-200,21.39049,79.58137,122.7,27.26,13.73,18.62,BIF,88.6,2022
